experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,inhibition_value,dilution_factor,inhibited,vol_filtered,filter_size
p_e,52345-066,2,20.2,1227172,5.366703984886121e-4,QBTK,minus 80,0,-0.144,1,0,3,5
p_e,52345-128,1,12.2,631977.6,4.576099171638765e-4,QBTK,later,0,2.004,1,1,3,5
p_e,52345-128,3,12.2,586429.3,4.246287580374211e-4,QBTK,later,0,3.549,1,1,3,5
p_e,52345-128,2,12.2,577611.8,4.182440769275329e-4,QBTK,later,0,2.736,1,1,3,5
p_e,52345-129,3,10.8,789306.4,6.456177201936919e-4,QBTK,later,0,0.738,1,1,3,5
p_e,52345-129,2,10.8,724958.3,5.929838208349693e-4,QBTK,later,0,3.455,1,1,3,5
p_e,52345-129,1,10.8,690943.1,5.65160891898966e-4,QBTK,later,0,4.303,1,1,3,5
p_e,52345-130,1,6.13,528048.3,7.609686186800708e-4,QBTK,later,0,-0.831,1,0,3,5
p_e,52345-130,3,6.13,456758,6.582324085335977e-4,QBTK,later,0,-0.637,1,0,3,5
p_e,52345-130,2,6.13,440305.5,6.345227664443535e-4,QBTK,later,0,-0.751,1,0,3,5
p_e,52345-055,1,19,1241340,5.771526873721406e-4,QBTK,self-preserving,0,3.328,1,1,3,5
p_e,52345-055,3,19,813775.7,3.783595406360424e-4,QBTK,self-preserving,0,2.484,1,1,3,5
p_e,52345-055,2,19,696910.9,3.240240375674168e-4,QBTK,self-preserving,0,6.45,1,1,3,5
p_e,52345-056,1,13.9,310071.5,1.970609731296235e-4,QBTK,self-preserving,0,2.859,1,1,3,5
p_e,52345-056,2,13.9,308864.8,1.9629407428121108e-4,QBTK,self-preserving,0,3.742,1,1,3,5
p_e,52345-056,3,13.9,307999.2,1.9574395607189162e-4,QBTK,self-preserving,0,1.439,1,1,3,5
p_e,52345-057,2,16.1,808082.8,4.4338761714549085e-4,QBTK,self-preserving,0,6.704,1,1,3,5
p_e,52345-057,1,16.1,716992,3.934069310624849e-4,QBTK,self-preserving,0,3.246,1,1,3,5
p_e,52345-057,3,16.1,623269.2,3.4198209073151454e-4,QBTK,self-preserving,0,2.647,1,1,3,5
p_e,52345-076,1,12.4,1102519,7.854489627265475e-4,QBTK,shield,0,NA,1,#VALUE!,3,5
p_e,52345-076,2,12.4,1091937,7.779102074546904e-4,QBTK,shield,0,NA,1,#VALUE!,3,5
p_e,52345-076,3,12.4,1030017,7.337975891941183e-4,QBTK,shield,0,NA,1,#VALUE!,3,5
p_e,52345-077,3,10.8,1465144,0.001198422981285172,QBTK,shield,0,0.368,1,0,3,5
p_e,52345-077,1,10.8,1438104,0.0011763054574008638,QBTK,shield,0,0.187,1,0,3,5
