sample,reference,bio_rep,tech_rep,dilution,smithroot_v_vaccum,filter_v_liq,preservation,extraction,Ct,quantity,inhibition_value,inhibited,PB_no,total_DNA
52345-057,SR_self-preserving_QBTK_3,3,1,10,SR,filter,self-preserving,QBTK,28.239,21183.18,-0.227,0,PB119,16.1
52345-057,SR_self-preserving_QBTK_3,3,2,10,SR,filter,self-preserving,QBTK,28.308,20300.18,-0.202,0,PB119,16.1
52345-057,SR_self-preserving_QBTK_3,3,3,10,SR,filter,self-preserving,QBTK,28.351,19772.24,-0.227,0,PB119,16.1
52345-130,SR_later_QBTK_3,3,1,10,SR,filter,later,QBTK,28.6,16940.10,-0.136,0,PB119,6.13
52345-130,SR_later_QBTK_3,3,2,10,SR,filter,later,QBTK,28.654,16384.10,-0.108,0,PB119,6.13
52345-130,SR_later_QBTK_3,3,3,10,SR,filter,later,QBTK,28.7,15926.50,-0.195,0,PB119,6.13
52345-056,SR_self-preserving_QBTK_2,2,2,10,SR,filter,self-preserving,QBTK,28.859,14432.17,-0.311,0,PB119,13.9
52345-056,SR_self-preserving_QBTK_2,2,1,10,SR,filter,self-preserving,QBTK,28.874,14297.39,-0.382,0,PB119,13.9
52345-056,SR_self-preserving_QBTK_2,2,3,10,SR,filter,self-preserving,QBTK,29.123,12261.29,-0.302,0,PB119,13.9
52345-232,Extra longmires from sample 52345-087,,2,10,vacuum,liquid,longmires,QBTK,32.779,1275.83,0.019,0,PB119,0.333
52345-232,Extra longmires from sample 52345-087,,3,10,vacuum,liquid,longmires,QBTK,32.898,1185.13,-0.03,0,PB119,0.333
52345-232,Extra longmires from sample 52345-087,,1,10,vacuum,liquid,longmires,QBTK,33.008,1107.07,-0.016,0,PB119,0.333
52345-222,RNAlater_SR_later_QBTK_3,3,2,10,SR,liquid,later,QBTK,33.083,1057.00,-0.014,0,PB119,0.284
52345-222,RNAlater_SR_later_QBTK_3,3,3,10,SR,liquid,later,QBTK,33.152,1012.52,-0.159,0,PB119,0.284
52345-231,Extra longmires from sample 52345-086,,3,10,vacuum,liquid,longmires,QBTK,33.342,900.32,0.068,0,PB119,0.382
52345-222,RNAlater_SR_later_QBTK_3,3,1,10,SR,liquid,later,QBTK,33.436,849.50,-0.042,0,PB119,0.284
52345-231,Extra longmires from sample 52345-086,,2,10,vacuum,liquid,longmires,QBTK,33.473,830.33,0.053,0,PB119,0.382
52345-231,Extra longmires from sample 52345-086,,1,10,vacuum,liquid,longmires,QBTK,33.737,705.16,-0.088,0,PB119,0.382
